u,,,,,
,Submit an event! ,Cerebral Valley,,,
,,Join our Slack Community,,,
,📧 Subscribe to the Events Newsletter,New York,London,Seattle,
,📧 DM Cerebral Valley on Twitter,Click to see 2025 Hackathons!,,Boston,
Month,Event,Date,Time (PST),Location,Link
November,AI By The Bay 2025,November 17-19,8:00AM - 5:00PM,"Oakland, CA",https://ai.bythebay.io/
,Sync Conf 2025,November 12,9:00AM - 12:00PM,"San Francisco, CA",https://syncconf.dev/
,The Voice of Technology,November 11,12:00PM - 6:00PM,"San Francisco, CA",https://summit.elevenlabs.io/
,TechEquity Ai Summit 2025 | Silicon Valley,November 7-8,9:00AM - 7:00PM,"Sunnyvale, CA",https://www.eventbrite.com/e/techequity-ai-summit-2025-silicon-valley-tickets-1123010748379
,TypeScript AI: The first conference for TypeScript AI developers,November 6,9:00AM - 5:30PM,"San Francisco, CA",https://luma.com/hyml00gk
,Data Science Salon: GenAI and Intelligent Agents in the Enterprise,November 6,8:30AM - 7:30PM,"San Francisco, CA",https://www.datascience.salon/san-francisco
,GovAI Coalition Summit 2025,November 5-6,8:00AM - 5:00PM,"San Jose, CA",https://events.govtech.com/GovAI-Coalition-Summit
,SNOWFLAKE STARTUP CHALLENGE 2026,November 4-6,9:00AM - 9:00PM,Remote,https://www.snowflake.com/en/build/americas/?utm_source=cerebral-valley&utm_medium=newsletter&utm_campaign=featured-event
,#WeLoveSF Gala,November 1,8:00PM - 12:00AM,"San Francisco, CA",https://www.eventbrite.com/e/welovesf-gala-tickets-1583432311669
October,Experiment 2025,October 30,9:00AM - 1:00PM,"San Francisco, CA",https://experiment.remyx.ai
,ODSC West 2025,October 28-30,8:00AM - 7:00PM,"Burlingame, CA",http://www.odsc.com/california
,Llama Lounge 21: Techcrunch Disrupt Side Event at Capgemini,October 28,5:00PM - 9:00PM,"San Francisco, CA",https://luma.com/llamalounge21
,"The Future of Work Mixer + Open Demos: Worktech, Agentic AI & Robotics",October 26,5:00PM - 9:00PM,"San Francisco, CA",https://luma.com/mgnddbk4
,GPU Mode Hackathon,October 24,9:30AM - 9:00PM,"San Francisco, CA",https://events.accel.com/gpumodehackathon
,dAGI Summit 2025,October 24,10:00AM - 6:00PM,"San Francisco, CA",https://dagihouse.com/
,PyTorch Dendritic Optimization Hackathon,October 23,6:30PM - 11:00PM,"San Francisco, CA",https://luma.com/29ao8utd
,PyLadies SF at AutoKitteh,October 23,5:30PM - 8:30PM,"San Francisco, CA",https://www.meetup.com/pyladiessf/events/308943016/
,Unsloth x Mistral x NVIDIA AI Developer Night,October 22,5:30PM - 8:30PM,"San Francisco, CA",https://luma.com/unsloth-mistral-nvidia
,AI infra & open-source models #3,October 22,8:00PM - 11:30PM,"San Francisco, CA",https://lu.ma/tmpnldk5
,Open Source & AI,October 20,4:30PM - 8:00PM,"Mountain View, CA",https://luma.com/qlhhx9ug
,PyTorch Conference 2025,October 21-23,7:30AM - 6:00PM,"San Francisco, CA",https://events.linuxfoundation.org/pytorch-conference/
,TEDAI San Francisco 2025 Conference,October 21-22,9:00AM - 6:00PM,"San Francisco, CA",https://tedai-sanfrancisco.ted.com/
,AI infra & open-source models #3,October 21,6:00PM - 9:30PM,"San Francisco, CA",https://luma.com/tmpnldk5
